sample_id,sample_name,sample,control_status,fastq_filepath,raw_total_sequences,reads_mapped,error_rate,average_quality,percent_mapped,percent_peptides_detected,percent_peptides_between_10_and_100
176,VS56_174_rep1_S318_R1_001,VS56_174,empirical,VS56_174_rep1_S318_R1_001.fastq.gz,1559345,29449,0.001815342,33.5,1.8885493588654212,69.83554529717253,12.637045585689554
177,VS56_174_rep2_S366_R1_001,VS56_174,empirical,VS56_174_rep2_S366_R1_001.fastq.gz,1388399,46551,0.001812636,33.5,3.3528546188811714,76.99076745527987,21.739757645701097
178,VS56_175_rep2_S367_R1_001,VS56_175,empirical,VS56_175_rep2_S367_R1_001.fastq.gz,1348831,39626,0.001992126,33.5,2.937803179197394,66.70513560300057,18.984420080784766
179,VS56_175_rep1_S319_R1_001,VS56_175,empirical,VS56_175_rep1_S319_R1_001.fastq.gz,1636400,60189,0.001683032,33.5,3.6781349303348816,89.26716676283901,30.424120023081365
180,VS56_176_rep1_S320_R1_001,VS56_176,empirical,VS56_176_rep1_S320_R1_001.fastq.gz,1965203,56206,0.001949258,33.5,2.8600607672591583,80.40969417195615,26.15406809001731
181,VS56_176_rep2_S368_R1_001,VS56_176,empirical,VS56_176_rep2_S368_R1_001.fastq.gz,1332780,54724,0.002061984,33.5,4.106003991656538,71.63877668782457,25.605885747259087
182,VS56_177_rep1_S321_R1_001,VS56_177,empirical,VS56_177_rep1_S321_R1_001.fastq.gz,2066229,42526,0.001860509,33.5,2.058145539531194,56.05885747259089,12.117714945181765
183,VS56_177_rep2_S369_R1_001,VS56_177,empirical,VS56_177_rep2_S369_R1_001.fastq.gz,1398698,36747,0.001731842,33.5,2.6272290372903946,64.15175995383727,17.77264858626659
184,VS56_178_rep2_S370_R1_001,VS56_178,empirical,VS56_178_rep2_S370_R1_001.fastq.gz,2100293,136721,0.002017832,33.4,6.509615563161902,91.200230813618,55.626081938834396
185,VS56_178_rep1_S322_R1_001,VS56_178,empirical,VS56_178_rep1_S322_R1_001.fastq.gz,1456089,41751,0.002101507,33.5,2.867338466261334,71.3935372186959,17.383150605885746
186,VS56_179_rep2_S371_R1_001,VS56_179,empirical,VS56_179_rep2_S371_R1_001.fastq.gz,1573331,318266,0.001822626,33.5,20.22880118678142,91.56087709174841,61.555106751298325
187,VS56_179_rep1_S323_R1_001,VS56_179,empirical,VS56_179_rep1_S323_R1_001.fastq.gz,1418588,20834,0.002095613,33.5,1.4686434680118539,62.75245239469128,7.039815349105598
188,VS56_18_rep2_S66_R1_001,VS56_18,empirical,VS56_18_rep2_S66_R1_001.fastq.gz,943145,16567,0.001984668,33.4,1.7565697745309576,59.795152914021934,5.207732256203116
189,VS56_18_rep1_S18_R1_001,VS56_18,empirical,VS56_18_rep1_S18_R1_001.fastq.gz,938110,20477,0.001973922,33.5,2.182793062647238,58.280438545874205,8.338141950375071
190,VS56_180_rep2_S372_R1_001,VS56_180,empirical,VS56_180_rep2_S372_R1_001.fastq.gz,1203384,19261,0.001738228,33.5,1.6005697267040278,49.92787074437392,8.482400461627236
191,VS56_180_rep1_S324_R1_001,VS56_180,empirical,VS56_180_rep1_S324_R1_001.fastq.gz,1449568,41869,0.001848623,33.5,2.8883777787589127,62.21869590305828,18.219849971148296
192,VS56_181_rep2_S373_R1_001,VS56_181,empirical,VS56_181_rep2_S373_R1_001.fastq.gz,1342247,46234,0.001898603,33.5,3.444522505917316,58.352567801500285,20.080784766301214
193,VS56_181_rep1_S325_R1_001,VS56_181,empirical,VS56_181_rep1_S325_R1_001.fastq.gz,1479254,40345,0.001719668,33.5,2.727388264625277,73.35545297172533,18.00346220427005
